id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19493701,Traveling Nurse (Kenny G)  स्वागत room,85076667,Sabrina & Perry,Other neighborhoods,Fremont,47.66137,-122.35189,Private room,48,30,8,2023-07-23,0.10,12,365,1,
19493891,Traveling Nurse room,85076667,Sabrina & Perry,Other neighborhoods,Fremont,47.66125,-122.35246,Shared room,47,30,22,2018-08-25,0.27,12,365,0,
19508222,New Wallingford Guest House,44113701,Sara,Other neighborhoods,Wallingford,47.65421,-122.33398,Entire home/apt,134,2,169,2023-10-15,2.06,1,73,11,STR-OPLI-20-000045
19532499,Matthews Beach Daylight Basement near UW/Childrens,5167419,Lucy And Chris,Lake City,Matthews Beach,47.69784,-122.27669,Entire home/apt,85,20,117,2023-12-14,1.50,1,226,7,STR-OPLI-22-000630
19543829,The Blue House in Peaceful Ballard,22121954,Stephanie,Ballard,Sunset Hill,47.67921,-122.39397,Private room,80,1,322,2024-03-13,3.94,1,0,62,STR-OPLI-22-000838
19589907,"*RoofTop* 2 KINGs, AC, mins to Downtown & Airport",33776918,Sonia,Other neighborhoods,South Park,47.52684,-122.32069,Entire home/apt,124,2,90,2024-03-17,3.74,1,123,40,STR-OPLI-21-001006
19594064,No Car Needed | Cozy N Beacon Apt by Light Rail,903177,Max,Beacon Hill,North Beacon Hill,47.57728,-122.30931,Private room,71,1,102,2024-03-23,1.25,1,162,11,STR-OPLI-19-000186
19619980,Urban Architectural Retreat with Rooftop Deck & Fireplace,28420265,Sherry,Beacon Hill,North Beacon Hill,47.58761,-122.30992,Entire home/apt,194,2,135,2024-03-19,1.67,47,268,21,STR-OPLI-24-000070
19626395,Family Fun/Business Retreat Near Space Needle,52640557,Bryan,Queen Anne,Lower Queen Anne,47.62744,-122.35143,Entire home/apt,209,30,195,2024-01-30,2.40,1,148,4,STR-OPLI-22-001587
19640055,Fabulous Private bedroom and bath in garden oasis,138214686,Jen,Central Area,Minor,47.61137,-122.309,Private room,67,30,26,2017-09-27,0.32,1,80,0,
19697895,Bungalow with Wetland Canopy Views from Patio,336506,John,Rainier Valley,Dunlap,47.52521,-122.26123,Entire home/apt,197,2,176,2023-12-26,2.18,1,240,24,STR-OPLI-20-000777
19699462,"Charming, Private 2 Bed Montlake Suite w/ Parking",22027933,Kathryn And Tom,Capitol Hill,Montlake,47.63711,-122.30618,Entire home/apt,83,2,791,2024-03-24,9.71,1,198,117,STR-OPLI-19-000800
19721795,Bright and Airy Craftsman on the Hill,8677106,Becca,Queen Anne,West Queen Anne,47.63581,-122.36963,Entire home/apt,313,3,48,2024-01-02,1.67,1,181,11,STR-OPLI-21-000767
19764464,★ QUIET Capitol Hill Home w GREAT DECKS★,12621577,Brad,Capitol Hill,Stevens,47.62427,-122.30002,Entire home/apt,250,30,9,2023-06-30,0.13,2,90,1,STR-OPLI-19-002256
19770172,Urban Oasis West Seattle: Near Stadiums & Downtown,62797356,Kelley,West Seattle,North Admiral,47.57246,-122.37577,Entire home/apt,100,2,167,2024-03-04,2.05,1,66,43,STR-OPLI-19-000790
19770530,Fremont & Woodland Park Zoo Cozy Living,23904049,Joshua,Other neighborhoods,Fremont,47.66291,-122.3512,Entire home/apt,115,2,232,2024-03-18,2.85,1,344,27,STR-OPLI-19-001157
19807175,Huge Master Bedroom w/private bath,13701143,Ali,Delridge,Highland Park,47.53183,-122.35404,Private room,46,1,146,2024-03-19,1.79,11,149,47,STR-OPLI-22-000983
19824463,Great bedroom Cabin in the City-Cedar Park,51676305,Vanessa,Lake City,Cedar Park,47.73066,-122.28938,Private room,51,30,22,2023-07-01,0.27,1,365,1,
19843399,Modern industrial guesthouse Ballard/Phinney Ridge,23094965,Naomi,Other neighborhoods,Phinney Ridge,47.68167,-122.36423,Entire home/apt,185,2,123,2024-01-01,1.52,1,163,21,STR-OPLI-19-001061
19846180,The Ballard Jungalow,2080018,Cassie,Ballard,Loyal Heights,47.68763,-122.38112,Entire home/apt,,3,4,2019-08-10,0.05,1,363,0,STR-OPLI-24-000167
19846504,"No Cleaning Fee - 2Bed/2Bath-AC,Full Kitchen",20180013,Andrew,Queen Anne,North Queen Anne,47.64504,-122.35206,Entire home/apt,155,4,447,2024-03-23,5.53,1,174,49,STR-OPLI-19-000251
19849588,Nice bedroom / private bath and balcony in Ballard,53466225,Gerard,Ballard,Adams,47.67229,-122.39183,Private room,100,30,32,2019-10-03,0.40,1,88,0,
19855651,Cozy 1 bedroom Daylight Basement Apartment,10235544,Scott (Aka Skip),Central Area,Leschi,47.59181,-122.29372,Entire home/apt,95,30,22,2024-03-14,0.27,3,222,2,
19891890,Weekly Discounts - Apartment w/ Private Deck,6992010,Annie,Queen Anne,West Queen Anne,47.6385,-122.37257,Entire home/apt,70,2,262,2024-02-27,3.24,2,58,44,STR-OPLI-19-001590
19894816,Charming Wallingford Cottage Apartment,21290502,Diana,Other neighborhoods,Wallingford,47.65371,-122.33994,Entire home/apt,97,3,170,2024-02-12,2.09,1,211,23,STR-OPLI-20-000143
19914644,"★ Clean, comfy, quiet private apartment! ★",141058204,Corey And Sandy,Other neighborhoods,Roosevelt,47.68108,-122.31915,Entire home/apt,109,2,202,2024-03-12,2.53,1,153,60,STR-OPLI-19-002669
