id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32015904,Condo in Seattle · ★4.73 · 1 bedroom · 1 bed · 1 bath,22135040,Alex,Downtown,Central Business District,47.61235,-122.33089,Entire home/apt,145,3,86,2022-09-16,1.53,2,0,0,STR-OPLI-19-003021
32028467,Home in Seattle · ★5.0 · 2 bedrooms · 2 beds · 1 bath,240134379,Patty,Lake City,Meadowbrook,47.71153,-122.29697,Entire home/apt,134,2,45,2023-09-09,1.77,1,98,21,STR-OPLI-21-000110
32049112,Rental unit in Seattle · ★4.89 · 2 bedrooms · 2 beds · 1 bath,113716480,Waunda,Queen Anne,North Queen Anne,47.65269,-122.37033,Entire home/apt,102,30,73,2022-10-29,1.31,1,276,1,STR-OPLI-19-844074
32064854,Rental unit in Seattle · ★4.56 · 2 bedrooms · 2 beds · 1 bath,128323587,Yulia,Queen Anne,North Queen Anne,47.64633,-122.3624,Entire home/apt,99,30,123,2023-04-20,2.20,1,179,2,STR-OPLI-19-002109
32067665,Rental unit in Seattle · ★4.94 · 1 bedroom · 2 beds · 1 bath,1640101,Janice,West Seattle,Alki,47.56657,-122.40702,Entire home/apt,125,3,70,2023-08-06,1.40,1,143,8,STR-OPLI-19-000702
32089743,Rental unit in Seattle · 2 bedrooms · 2 beds · 1 bath,78475236,Charles,Lake City,Matthews Beach,47.69949,-122.27278,Entire home/apt,80,60,1,2021-07-31,0.04,1,260,0,
32103231,Guest suite in Seattle · ★4.95 · 1 bedroom · 2 beds · 1 bath,187982569,Joyce,Other neighborhoods,Crown Hill,47.70412,-122.37346,Entire home/apt,95,2,154,2023-09-04,2.77,1,124,24,STR-OPLI-19-001608
32115631,Home in Seattle · ★4.40 · 4 bedrooms · 4 beds · 2 baths,230287218,Dorothy,Rainier Valley,Dunlap,47.52632,-122.27419,Entire home/apt,199,2,173,2023-08-19,3.09,9,87,33,STR-OPLI-19-002141
32169794,Condo in Seattle · ★4.94 · Studio · 2 beds · 1 bath,7593634,Dustin,Downtown,Belltown,47.61756134033203,-122.34635925292969,Entire home/apt,185,4,79,2023-09-04,1.44,1,151,15,STR-OPLI-20-000794
32172218,Home in Seattle · ★5.0 · 2 bedrooms · 2 beds · 2 baths,2129659,Eowyn,Rainier Valley,Columbia City,47.55185,-122.27642,Entire home/apt,200,3,13,2022-04-12,0.26,1,0,0,STR-OPLI-19-000482
32195610,Townhouse in Seattle · ★4.82 · 2 bedrooms · 2 beds · 2 baths,241584087,Brian And Anh,Delridge,North Delridge,47.56799,-122.36059,Entire home/apt,160,1,297,2023-09-11,5.30,4,169,55,STR-OPLI-19-002302
32269368,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,56004960,Andrew,Other neighborhoods,Wallingford,47.66603,-122.33402,Private room,66,30,36,2023-05-31,0.66,10,106,2,
32410643,Rental unit in Seattle · ★4.93 · Studio · 1 bed · 1 bath,198522296,David,Central Area,Minor,47.61121,-122.30854,Entire home/apt,133,5,88,2023-09-15,1.60,2,133,25,STR-OPLI-19-001083
32438199,Hostel in Seattle · ★4.71 · 1 bedroom · 8 beds · 16 shared baths,31751507,Rex,Downtown,Central Business District,47.60996,-122.339,Shared room,35,1,551,2023-09-16,17.24,5,0,288,Exempt
32454401,Rental unit in Seattle · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,31245355,Kiela,Queen Anne,Lower Queen Anne,47.62481,-122.36346,Private room,75,30,6,2019-06-16,0.11,2,90,0,
32474278,Condo in Seattle · ★4.92 · 2 bedrooms · 3 beds · 2 baths,243983185,Bindu,Downtown,Pike-Market,47.60982,-122.34418,Entire home/apt,491,3,166,2023-08-28,3.02,1,162,31,STR-OPLI-19-001543
